round_epochs,loss,root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.007015200797468424,0.08375679701566696,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.006456357892602682,0.08035146445035934,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.003548445412889123,0.05956882983446121,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.01120605319738388,0.10585864633321762,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.005909481085836887,0.07687314599752426,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.008884649723768234,0.09425842016935349,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004914618097245693,0.07010433822870255,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.008927322924137115,0.09448450803756714,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.005728455260396004,0.07568655908107758,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.008049563504755497,0.08971936255693436,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.004619660321623087,0.06796808540821075,10,0.16,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
